Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1600000US3739520,3739520,"Lowesville CDP, North Carolina",2971,369
1600000US3739540,3739540,"Lowgap CDP, North Carolina",359,222
1600000US3739600,3739600,"Lucama town, North Carolina",1073,232
1600000US3739680,3739680,"Lumber Bridge town, North Carolina",82,28
1600000US3739700,3739700,"Lumberton city, North Carolina",21366,49
1600000US3739880,3739880,"McAdenville town, North Carolina",662,114
1600000US3739960,3739960,"Macclesfield town, North Carolina",538,201
1600000US3740140,3740140,"McDonald town, North Carolina",93,31
1600000US3740240,3740240,"McFarlan town, North Carolina",92,44
1600000US3740460,3740460,"McLeansville CDP, North Carolina",1002,259
1600000US3740540,3740540,"Macon town, North Carolina",134,74
1600000US3740560,3740560,"Madison town, North Carolina",2462,294
1600000US3740600,3740600,"Maggie Valley town, North Carolina",1541,257
1600000US3740640,3740640,"Magnolia town, North Carolina",1377,309
1600000US3740660,3740660,"Maiden town, North Carolina",3388,18
1600000US3740860,3740860,"Mamers CDP, North Carolina",1064,452
1600000US3740980,3740980,"Manns Harbor CDP, North Carolina",1021,323
1600000US3741060,3741060,"Manteo town, North Carolina",1485,286
1600000US3741220,3741220,"Marble CDP, North Carolina",406,154
1600000US3741380,3741380,"Marietta town, North Carolina",147,38
1600000US3741420,3741420,"Marion city, North Carolina",7752,44
1600000US3741540,3741540,"Mar-Mac CDP, North Carolina",3003,529
1600000US3741580,3741580,"Marshall town, North Carolina",759,179
1600000US3741600,3741600,"Marshallberg CDP, North Carolina",331,154
1600000US3741620,3741620,"Mars Hill town, North Carolina",2595,476
1600000US3741640,3741640,"Marshville town, North Carolina",2614,28
1600000US3741720,3741720,"Marvin village, North Carolina",6174,39
1600000US3741960,3741960,"Matthews town, North Carolina",30760,49
1600000US3742000,3742000,"Maury CDP, North Carolina",1401,226
1600000US3742020,3742020,"Maxton town, North Carolina",2538,249
1600000US3742060,3742060,"Mayodan town, North Carolina",2700,341
1600000US3742100,3742100,"Maysville town, North Carolina",970,175
1600000US3742240,3742240,"Mebane city, North Carolina",14426,524
1600000US3742480,3742480,"Mesic town, North Carolina",195,53
1600000US3742620,3742620,"Micro town, North Carolina",660,160
1600000US3742640,3742640,"Middleburg town, North Carolina",79,37
1600000US3742700,3742700,"Middlesex town, North Carolina",993,248
1600000US3742760,3742760,"Midland town, North Carolina",3422,18
1600000US3742860,3742860,"Midway town, North Carolina",4749,26
1600000US3743160,3743160,"Millers Creek CDP, North Carolina",1560,369
1600000US3743200,3743200,"Millingport CDP, North Carolina",390,140
1600000US3743260,3743260,"Mills River town, North Carolina",7079,28
1600000US3743300,3743300,"Milton town, North Carolina",177,75
1600000US3743360,3743360,"Mineral Springs town, North Carolina",2904,24
1600000US3743440,3743440,"Minnesott Beach town, North Carolina",389,73
1600000US3743480,3743480,"Mint Hill town, North Carolina",25600,92
1600000US3743580,3743580,"Misenheimer village, North Carolina",723,141
1600000US3743720,3743720,"Mocksville town, North Carolina",5130,50
1600000US3743860,3743860,"Momeyer town, North Carolina",267,68
1600000US3743880,3743880,"Moncure CDP, North Carolina",736,237
1600000US3743920,3743920,"Monroe city, North Carolina",34368,46
1600000US3744100,3744100,"Montreat town, North Carolina",463,93
1600000US3744160,3744160,"Mooresboro town, North Carolina",447,147
1600000US3744220,3744220,"Mooresville town, North Carolina",36577,106
1600000US3744280,3744280,"Moravian Falls CDP, North Carolina",2200,489
1600000US3744320,3744320,"Morehead City town, North Carolina",9200,38
1600000US3744400,3744400,"Morganton city, North Carolina",16478,33
1600000US3744520,3744520,"Morrisville town, North Carolina",23873,54
1600000US3744560,3744560,"Morven town, North Carolina",494,193
1600000US3744700,3744700,"Mountain Home CDP, North Carolina",3458,501
